"sector","nivel_educ","n","ingreso_medio"
"Educación","Superior",7,908857.142857143
"Servicios","Superior",7,866285.714285714
"Servicios","media completa ",2,802500
"Industria","Superior",5,799600
"Comercio","Superior",1,723000
"Servicios","Sin media completa",6,693333.333333333
"Construcción","Superior",1,605000
"Industria","Sin media completa",3,601000
"Comercio","media completa ",1,589000
"Agricultura","Superior",6,542000
"Construcción","media completa ",1,502000
"Construcción","Sin media completa",3,499000
"Industria","media completa ",1,480000
"Comercio","Sin media completa",4,457750
"Agricultura","media completa ",2,456000
"Agricultura","Sin media completa",5,331600
